bioguide,name,positions,date_of_birth,states_served,congresses_served,start_date,end_date,is_slaveholder
A000003,Joel Abbott,rep,1776-03-17,GA,"15,16,17,18",1817-12-01,1825-03-03,true
A000004,Amos Abbott,rep,1786-09-10,MA,"28,29,30",1843-03-04,1849-03-03,false
A000006,Joseph Carter Abbott,sen,1825,NC,"40,41",1868-07-17,1871-03-03,false
A000007,Josiah Gardner Abbott,rep,1814,MA,44,1875-03-05,1877-03-04,false
A000008,Nehemiah Abbott,rep,1804-03-29,ME,35,1857-03-04,1859-03-03,false
A000012,James Abercrombie,rep,1795,AL,"32,33",1851-03-04,1855-03-03,true
A000020,Ephraim Leister Acker,rep,1827,PA,42,1871-03-04,1873-03-03,false
A000026,John Adair,"sen,rep",1757,KY,"9,22",1805-11-08,1833-03-02,true
A000030,Benjamin Adams,rep,1764-12-16,MA,"14,15,16",1815-12-04,1821-03-03,false
A000032,Charles Francis Adams,rep,1807-08-18,MA,"36,37",1859-03-04,1861-05-01,false
A000033,Charles Henry Adams,rep,1824,NY,44,1875-03-05,1877-03-04,false
A000035,George Madison Adams,rep,1837-12-20,KY,"43,42,41,40",1867-03-04,1875-03-03,true
A000036,Green Adams,rep,1812-08-20,KY,"30,36",1847-03-04,1861-03-03,true
A000038,John Adams,rep,1778-08-26,NY,"14,23",1815-12-04,1835-03-03,false
A000041,John Quincy Adams,"rep,sen",1767-07-11,MA,"28,29,22,30,9,10,25,23,26,27,8,24",1803-03-04,1848-02-23,false
A000042,Parmenio Adams,rep,1776-09-09,NY,"18,19",1823-12-01,1827-03-03,false
A000043,Robert Huntington Adams,sen,1792,MS,21,1830-01-06,1830-07-02,false
A000047,Silas Adams,rep,1839-02-09,KY,53,1893-03-04,1895-03-04,false
A000048,Stephen Adams,"rep,sen",1807-10-17,MS,"29,32,33,34",1845-03-04,1857-03-03,true
A000053,William Addams,rep,1777-04-11,PA,"19,20",1825-12-05,1829-03-03,unknown
A000056,Asa Adgate,rep,1767-11-17,NY,14,1815-12-04,1817-03-03,false
A000058,Garnett Bowditch Adrain,rep,1815-12-15,NJ,"35,36",1857-03-04,1861-03-03,false
A000060,John Alexander Ahl,rep,1813-08-16,PA,35,1857-03-04,1859-03-03,false
A000061,David Wyatt Aiken,rep,1828,SC,"47,49,45,46,48",1877-03-05,1887-03-03,true
A000063,William Aiken,rep,1806-01-28,SC,"32,33,34",1851-03-04,1857-03-03,true
A000066,George Ainslie,Delegate,1838,ID,"46,47",1879-03-18,1883-03-03,unknown
A000067,Lucien Lester Ainsworth,rep,1831,IA,44,1875-03-05,1877-03-04,false
A000070,Thomas Peter Akers,rep,1828-10-04,MO,34,1856-08-18,1857-03-03,true
A000074,William Julian Albert,rep,1816,MD,43,1873-03-04,1875-03-03,unknown
A000075,Nathaniel Albertson,rep,1800-06-10,IN,31,1849-03-04,1851-03-03,true
A000077,Charles Albright,rep,1830,PA,43,1873-03-04,1875-03-03,false
A000078,Charles Jefferson Albright,rep,1816-05-09,OH,34,1855-03-04,1857-03-03,false
A000079,James Lusk Alcorn,sen,1816,MS,"42,43,44",1871-12-04,1877-03-03,true
A000081,Cyrus Aldrich,rep,1808-06-18,MN,"36,37",1859-03-04,1863-03-03,false
A000086,William Aldrich,rep,1820,IL,"45,46,47",1877-03-05,1883-03-03,false
A000089,Adam Rankin Alexander,rep,1781-11-01,TN,"18,19",1823-12-01,1827-03-03,true
A000090,Armstead Milton Alexander,rep,1834,MO,48,1883-12-03,1885-03-04,true
A000092,Evan Shelby Alexander,rep,1767,NC,"9,10",1805-12-02,1809-03-03,true
A000093,Henry Porteous Alexander,rep,1801-09-13,NY,31,1849-03-04,1851-03-03,false
A000095,James Alexander Jr.,rep,1789-10-17,OH,25,1837-03-04,1839-03-03,false
A000096,John Alexander,rep,1777-04-16,OH,"13,14",1813-05-24,1817-03-03,unknown
A000099,Mark Alexander,rep,1792-02-07,VA,"16,17,18,19,20,21,22",1819-12-06,1833-03-02,true
A000100,Nathaniel Alexander,rep,1756-03-05,NC,"8,9",1803-11-17,1805-11,true
A000104,Julius Caesar Alford,rep,1799-05-10,GA,"24,26,27",1837-01-31,1841-10-01,true
A000107,Russell Alexander Alger,sen,1836,MI,"57,58,59",1902-09-27,1907-01-24,false
A000108,Chilton Allan,rep,1786-04-06,KY,"22,23,24",1831-12-05,1837-03-03,true
A000112,Amos Lawrence Allen,rep,1837-03-17,ME,"56,57,58,59,60,61",1899-03-04,1911-02-20,false
A000115,Charles Allen,rep,1797-08-09,MA,"31,32",1849-03-04,1853-03-03,false
A000119,Edward Payson Allen,rep,1839-10-28,MI,"50,51",1887-03-04,1891-03-03,false
A000120,Elisha Hunt Allen,rep,1804-01-28,ME,27,1841-03-04,1843-03-03,unknown
A000122,Heman Allen of Colchester,rep,1779-02-23,VT,15,1817-12-01,1818-04-20,false
A000123,Heman Allen of Milton,rep,1777-06-14,VT,"22,23,24,25",1831-12-05,1839-03-03,false
A000128,James Cameron Allen,rep,1822-01-29,IL,"33,38,34",1853-03-04,1865-03-04,false
A000129,John Allen,rep,1763-06-12,CT,5,1797-05-15,1799-03-03,false
A000132,John James Allen,rep,1797-09-25,VA,23,1833-12-02,1835-03-03,true
A000135,John William Allen,rep,1802-08,OH,"25,26",1837-03-04,1841-03-03,false
A000136,Joseph Allen,rep,1749-09-02,MA,11,1809-05-22,1811-03-03,false
A000137,Judson Allen,rep,1797-04-03,NY,26,1839-03-04,1841-03-03,unknown
A000140,Nathaniel Allen,rep,1780,NY,16,1819-12-06,1821-03-03,false
A000141,Philip Allen,sen,1785,RI,"33,34,35",1853-03-04,1859-03-03,false
A000142,Robert Allen,rep,1778-06-19,TN,"16,17,18,19",1819-12-06,1827-03-03,true
A000143,Robert Allen,rep,1794-07-30,VA,"20,21,22",1827-12-03,1833-03-02,true
A000146,Samuel Clesson Allen,rep,1772-01-05,MA,"15,16,17,18,19,20",1817-12-01,1829-03-03,false
A000147,Thomas Allen,rep,1813,MO,47,1881-03-04,1883-03-03,true
A000149,William Allen,rep,1827-08-13,OH,"36,37",1859-03-04,1863-03-03,false
A000150,William Allen,"rep,sen",1803-12-18,OH,"23,25,26,27,28,29,30",1833-12-02,1849-03-03,false
A000152,William Joshua Allen,rep,1829-06-09,IL,"37,38",1862-06-02,1865-03-04,false
A000154,Willis Allen,rep,1806-12-15,IL,"32,33",1851-03-04,1855-03-03,false
A000155,John Bassett Alley,rep,1817-01-07,MA,"37,36,38,39",1859-03-04,1867-03-03,false
A000157,James Allison Jr.,rep,1772-10-04,PA,"18,19",1823-12-01,1827-03-03,false
A000158,John Allison,rep,1812-08-05,PA,"32,34",1851-03-04,1857-03-03,false
A000159,Robert Allison,rep,1777-03-10,PA,22,1831-12-05,1833-03-02,false
A000160,William Boyd Allison,"rep,sen",1829-03-02,IA,"38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60",1863-03-04,1908-08-04,false
A000165,Lemuel James Alston,rep,1760,SC,"10,11",1807-10-26,1811-03-03,true
A000166,William Jeffreys Alston,rep,1800-12-31,AL,31,1849-03-04,1851-03-03,true
A000167,Willis Alston,rep,1769,NC,"6,7,8,9,10,11,12,13,19,20,21",1799-12-02,1831-03-03,true
A000168,James Church Alvord,rep,1808-04-14,MA,26,1839-03-04,1839-09-27,false
A000169,Jacob A. Ambler,rep,1829,OH,"41,42",1869-03-04,1873-03-03,false
A000172,Adelbert Ames,sen,1835,MS,"41,42,43",1870-04-01,1874-01-10,false
A000174,Fisher Ames,rep,1758-04-09,MA,"1,2,3,4",1789-03-04,1797-03-03,false
A000175,Oakes Ames,rep,1804-01-10,MA,"38,39,40,41,42",1863-03-04,1873-03-03,false
A000178,Sydenham Elnathan Ancona,rep,1824-11-20,PA,"38,37,39",1861-03-04,1867-03-03,false
A000180,Albert Raney Anderson,rep,1837-11-08,IA,50,1887-03-04,1889-03-04,false
A000181,Alexander Outlaw Anderson,sen,1794,TN,26,1840-01-27,1841-03-03,true
A000188,George Washington Anderson,rep,1832-05-22,MO,"39,40",1865-03-04,1869-03-03,true
A000190,Hugh Johnston Anderson,rep,1801-05-10,ME,"25,26",1837-03-04,1841-03-03,false
A000191,Isaac Anderson,rep,1760-11-23,PA,"8,9",1803-10-17,1807-03-03,false
A000192,James Patton Anderson,Delegate,1822-02-16,WA,34,1855-03-04,1857-03-03,true
A000193,John Anderson,rep,1792-07-30,ME,"19,20,21,22",1825-12-09,1833-03-02,false
A000194,John Alexander Anderson,rep,1834-06-26,KS,"46,47,48,49,50,51",1879-03-18,1891-03-03,false
A000197,Joseph Inslee Anderson,sen,1757,TN,"5,6,7,8,9,10,11,12,13",1797-09-26,1815-03-03,true
A000198,Joseph Halstead Anderson,rep,1800-08-25,NY,"28,29",1843-03-04,1847-03-03,false
A000199,Josiah McNair Anderson,rep,1807-11-29,TN,31,1849-03-04,1851-03-03,true
A000201,Lucien Anderson,rep,1824-06-23,KY,38,1863-03-04,1865-03-04,true
A000230,Richard Clough Anderson Jr.,rep,1788-08-04,KY,"15,16",1817-12-01,1821-03-03,true
A000231,Samuel Anderson,rep,1773,PA,20,1827-12-03,1829-03-03,false
A000232,Simeon H. Anderson,rep,1802-03-12,KY,26,1839-03-04,1840-08-11,true
A000234,Thomas Lilbourne Anderson,rep,1808-12-08,MO,"35,36",1857-03-04,1861-03-03,true
A000235,William Anderson,rep,1762,PA,"11,12,13,15",1809-05-22,1819-03-03,true
A000236,William Black Anderson,rep,1830,IL,44,1875-03-05,1877-03-04,false
A000237,William Clayton Anderson,rep,1826-12-26,KY,36,1859-03-04,1861-03-03,true
A000243,Charles Andrews,rep,1814-02-11,ME,32,1851-03-04,1852-04-30,false
A000245,George Rex Andrews,rep,1808-09-21,NY,31,1849-03-04,1851-03-03,false
A000246,John Tuttle Andrews,rep,1803-05-29,NY,25,1837-03-04,1839-03-03,false
A000247,Landaff Watson Andrews,rep,1803-02-12,KY,"26,27",1839-03-04,1843-03-03,true
A000248,Samuel George Andrews,rep,1796-10-16,NY,35,1857-03-04,1859-03-03,unknown
A000249,Sherlock James Andrews,rep,1801-11-17,OH,27,1841-03-04,1843-03-03,false
A000256,William G. Angel,rep,1790-07-17,NY,"19,21,22",1825-12-05,1833-03-02,false
A000262,Henry Bowen Anthony,sen,1815,RI,"36,37,38,39,40,41,42,43,44,45,46,47,48",1859-03-04,1884-09-02,false
A000263,Joseph Biles Anthony,rep,1795-06-19,PA,"23,24",1833-12-02,1837-03-03,false
A000268,John Appleton,rep,1815-02-11,ME,32,1851-03-04,1853-03-03,false
A000269,Nathan Appleton,rep,1779-10-06,MA,"22,27",1831-12-05,1842-09-28,false
A000270,William Appleton,rep,1786-11-16,MA,"32,33,37",1851-03-04,1861-09-27,false
A000272,John Archer,rep,1741-05-05,MD,"7,8,9",1801-12-07,1807-03-03,true
A000273,Stevenson Archer,rep,1786-10-11,MD,"12,13,14,16",1811-11-04,1821-03-03,true
A000274,Stevenson Archer,rep,1827-02-28,MD,"40,41,42,43",1867-03-04,1875-03-03,true
A000275,William Segar Archer,"rep,sen",1789-03-05,VA,"16,17,18,19,20,21,22,23,27,28,29",1820-01-18,1847-03-03,true
A000278,Robert Franklin Armfield,rep,1829,NC,"46,47",1879-03-18,1883-03-03,unknown
A000279,David Hartley Armstrong,sen,1812,MO,45,1877-09-29,1879-01-26,unknown
A000280,James Armstrong,rep,1748-08-29,PA,3,1793-12-02,1795-03-03,true
A000282,John Armstrong Jr.,sen,1758,NY,"6,7,8",1800-11-06,1804-06-30,true
A000283,Moses Kimball Armstrong,Delegate,1832,DK,"42,43",1871-03-04,1875-03-03,false
A000284,William Armstrong,rep,1782-12-23,VA,"19,20,21,22",1825-12-05,1833-03-02,true
